combo,mean_f1,std_f1
"('B10', 'B4', 'B3', 'B2', 'B9')",0.6505648271347736,0.004384322206020606
"('B11', 'B4', 'B6', 'B7', 'B9')",0.6503810770790492,0.004060935378717795
"('B10', 'B11', 'B4', 'B8', 'B9')",0.6503630621491534,0.003749771337339963
"('B10', 'B11', 'B3', 'B1', 'B8')",0.6502429623364885,0.0005374221753409353
"('B11', 'B5', 'B2', 'B6', 'B9')",0.650166647974005,0.0003172012817975009
"('B10', 'B5', 'B3', 'B1', 'B9')",0.6501198817630021,0.004495445042811725
"('B10', 'B4', 'B3', 'B7', 'B9')",0.649980596209412,0.005008738482509806
"('B10', 'B4', 'B3', 'B2', 'B7')",0.6499198148213967,0.005578915740659958
"('B10', 'B11', 'B3', 'B6', 'B9')",0.6495887640796127,0.0025550285162737976
"('B11', 'B4', 'B2', 'B1', 'B7')",0.6494775917712304,0.0038835178319974735
"('B10', 'B4', 'B2', 'B1', 'B6')",0.6493225247888429,0.003732423783320155
"('B10', 'B4', 'B3', 'B2', 'B6')",0.6493206813132056,0.0029879080390110492
"('B10', 'B11', 'B3', 'B6', 'B7')",0.6492800668172857,0.0018819611188136173
"('B11', 'B4', 'B2', 'B6', 'B8')",0.6490933037363558,0.003391643332110739
"('B10', 'B11', 'B2', 'B1', 'B7')",0.6489746652433642,0.001891972335402096
"('B10', 'B11', 'B3', 'B1', 'B6')",0.6488817049526785,0.0009527422482705311
"('B10', 'B4', 'B6', 'B7', 'B9')",0.6488759051941212,0.004725012227718199
"('B11', 'B4', 'B3', 'B2', 'B9')",0.6487007281004299,0.00428883612971189
"('B11', 'B4', 'B1', 'B7', 'B9')",0.6485633207942416,0.003264813220213629
"('B10', 'B4', 'B3', 'B2', 'B8')",0.64845932084738,0.004254662107522214
"('B10', 'B4', 'B2', 'B6', 'B7')",0.648207628091869,0.005876548335589288
"('B10', 'B11', 'B5', 'B7', 'B9')",0.648187309168862,0.0015942889207262148
"('B10', 'B5', 'B3', 'B1', 'B6')",0.6481596966296079,0.005383773284961514
"('B10', 'B5', 'B2', 'B1', 'B9')",0.6481591781970691,0.00435126229618477
"('B11', 'B4', 'B3', 'B7', 'B9')",0.6481150347213137,0.004004935425637405
"('B11', 'B4', 'B3', 'B2', 'B7')",0.6479688177302011,0.002917021851175497
"('B11', 'B4', 'B3', 'B6', 'B7')",0.6479687380723129,0.005850212022046513
"('B11', 'B5', 'B1', 'B6', 'B9')",0.647963742205051,0.002187528288401391
"('B11', 'B4', 'B2', 'B1', 'B9')",0.6479096554144074,0.0015543471111666494
"('B11', 'B4', 'B2', 'B7', 'B9')",0.647891057537894,0.0033003820749071835
